dataset,scene,image_path,rotation_matrix,translation_vector
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_170709.jpg,0.961211667939937;0.012901284585988954;0.27550986601600286;0.010296711688702664;0.9965305710025207;-0.0825881273900169;-0.27561949703263783;0.08222151733835402;0.9577439714986749,-15.272578207792487;-0.6299638684926413;21.960227723485236
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_170633.jpg,0.9983992256415107;0.03067020011152836;0.04752183775434721;-0.03868145364875668;0.9832545613189944;0.17808484716283723;-0.041264165834907926;-0.17963798727026198;0.9828669605533795,-10.86744827847772;5.142649233329267;22.080480064699838
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_170350.jpg,-0.00887553412819142;-0.176226804404349;-0.9843095744243122;0.39294322199801135;0.9045488935644099;-0.16548994965623587;0.9195199014593218;-0.3882465873138272;0.0612187737496096,21.65171058540772;5.995022279588175;8.020055338690078
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_170339.jpg,-0.9161929266043187;-0.08177524286162957;-0.3923051502276445;0.02954712485695776;0.9625084510711022;-0.2696376253963735;0.39964670479424774;-0.25863157439034623;-0.8794272113571824,9.821364270813396;4.839277289238847;19.63082835980071
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_170250.jpg,0.9917061795507187;0.02380210836276639;0.1263024666362647;-0.09440507878625559;0.8017463047077361;0.5901614558634365;-0.0872154489771079;-0.5971903570261137;0.7973438047258814,-25.98610607878878;1.9810845701842204;-1.0497515845043712
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_170022.jpg,0.9697792518800367;0.025391671560767513;0.2426591552741141;0.019106993973505237;0.9836116436581189;-0.17928484944766013;-0.2432347125808587;0.17850321418821521;0.9534010054117749,-5.869327495182091;-0.9816845968824357;17.92986505828334
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_170001.jpg,0.7444602957101786;-0.5535533863617507;0.3733061967856305;0.6258846363297849;0.7732816715263788;-0.1015080217899183;-0.23248073063685604;0.30921530513350726;0.9221380617639343,-2.6972607836321476;-6.323104565312248;17.570259695478907
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165957.jpg,0.9999352888755633;-0.0037042753589563303;-0.01075622635541415;0.0037382583016558166;0.9999880797345393;0.0031409892866342674;0.010744463049123413;-0.0031809955821533015;0.9999372169195886,-10.284360319965284;2.119928336314951;15.678450253781774
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165920.jpg,0.9792628212643243;-0.013668626777776234;0.2021323713101044;-0.01861908712326165;0.9874270323509464;0.15697511069370007;-0.20173660174626826;-0.15748340999804666;0.9666960841398162,-10.744954809656628;1.4979248230509177;8.82822904863869
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165845.jpg,0.9016543679775152;0.1028800238307808;0.4200417853067068;-0.07241064229357812;0.9934940546124194;-0.08789916002105214;-0.42635208406867103;0.04883916611033636;0.9032378625057454,-16.097556557725525;3.0100628478800924;2.2136670691414593
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165822.jpg,0.4449944456684489;-0.19764828361446626;-0.8734501126615564;0.6048582026366505;0.7855858293514882;0.13038964462446828;0.6603987416912533;-0.58633613286782;0.4691305162385192,1.5818211854758366;-6.065425847391304;-10.69611891909757
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165815.jpg,0.3183289682798487;-0.19476375976410032;-0.9277573744446547;0.4334071554598873;0.9002971540205017;-0.04028985056753337;0.843104326610922;-0.38927125805167906;0.3710026712906619,3.2543767011465565;-3.043285340209127;-11.665507871530057
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165811.jpg,0.9787239812773071;-0.02307056087459008;-0.2038801552226925;-0.0027919768666346614;0.9920690746569739;-0.1256628663306373;0.2051623097400532;0.12355848951078706;0.9708973819781055,-8.324212615779109;1.956314306278664;-9.142460116375128
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165748.jpg,0.9822801741002959;0.04682391017590365;0.1814750148238906;-0.033130635661182725;0.9964209267786589;-0.07776694450886276;-0.1844668548823294;0.0703765451936757;0.9803158273415891,-8.77292706311348;1.2278479918095728;-10.235799611737038
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165737.jpg,-0.019725354318522514;-0.16448203982744714;-0.986182827355664;-0.001674132754483998;0.9863787910798519;-0.1644812384053884;0.999804034637053;-0.0015934497331098751;-0.019732035916725454,16.43746098657576;1.7535836984489281;-0.3382924274434782
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165722.jpg,0.36262413113398584;-0.14313201406140902;-0.9208783665990024;-0.08913332341249629;0.9782786472666277;-0.1871527156084578;0.9276631878956745;0.14994704016052318;0.34198961237197434,15.37096253190451;2.173529546741119;-6.377068448304994
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165709.jpg,0.2819066637148836;-0.23110382714748118;-0.9311925977105547;0.8097644459670279;0.5778689645306185;0.1017300441365443;0.5145970996817376;-0.7827250353157857;0.3500447744061409,15.677143316014789;-2.333838481594533;-5.338574947144069
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165703.jpg,-0.11270981075632847;-0.21439658885030247;-0.9702219340174842;0.3756554860460386;0.8947771174462043;-0.24136459122699877;0.919880130431562;-0.3916733495963391;-0.020310904785281636,16.363373532448342;4.583824535816395;3.8527692341924706
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165700.jpg,-0.21025690522698692;-0.18991630589167108;-0.9590223305850764;0.060796638656547955;0.9765117578806847;-0.20670886640112987;0.9757539661884217;-0.10176730062862158;-0.19377206710547523,15.835473382919785;2.7745708305858905;6.690488442100003
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165612.jpg,0.806304980544053;-0.11950202413646656;-0.5793026364320654;0.09150541500141447;0.9927891922410694;-0.0774362886167963;0.5843791897178349;0.009427937028439956;0.811425952646398,14.865461947880393;1.1778135552681595;-0.8577199483193003
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165608.jpg,0.591056767068239;-0.11748558771158216;-0.7980282167836585;0.41928173497426724;0.8899291269288809;0.17952430409437067;0.6890970358518531;-0.440707710079667;0.5752581937326284,14.353070454636073;2.754184056052716;3.0229731701993003
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165549.jpg,0.5138760647003466;-0.15997729083617165;-0.842815909048236;0.27344016645705377;0.9617586797887625;-0.01583405251081585;0.8131186048148352;-0.22232298187028596;0.5379689825968414,11.446783301562386;3.3291820098484375;9.38449827753239
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165449.jpg,-0.11477245281364623;-0.14870742973757667;-0.9821982408943642;0.01483562792910871;0.9883651179058094;-0.15137469356198419;0.9932810217753528;-0.03194517252855683;-0.1112309207596176,-2.5433195262089874;-1.6266770190515407;23.658929335450008
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165418.jpg,0.6056890310183953;-0.08171620047748654;-0.7914943210683959;0.2142044590718211;0.9747366262421017;0.06328474678715225;0.7663271151523651;-0.20787248986262874;0.6078912571674027,7.946596546816508;4.171933221763751;24.346758370311733
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165343.jpg,0.5844725669194836;-0.13468555571112434;-0.8001572467967377;0.14503365689728287;0.9875878340909909;-0.060295176610294376;0.7983464516646586;-0.08080885494951018;0.5967519351256416,2.732589512142214;0.5308685460126222;36.80540822929213
urban,kyiv-puppet-theater,urban/kyiv-puppet-theater/images/IMG_20220127_165641.jpg,-0.641734774032019;-0.11605068759992548;-0.7580954542177777;0.00957081644058564;0.9871961467108781;-0.15922363955096364;0.766866924094875;-0.10943493878455397;-0.6324073963059624,6.2657011154483;1.8245735518177126;14.606366401902367
heritage,dioscuri,heritage/dioscuri/images/archive_0057.png,-0.9791183575653013;0.0100674291822909;-0.20304159364102303;0.09702579913940027;0.9008177760932771;-0.4232178263917097;0.1786427613422596;-0.43408061595056524;-0.8829840217557678,3.591671766261437;7.581541266044765;19.945440673077748
heritage,dioscuri,heritage/dioscuri/images/archive_0055.png,-0.9983113033301405;0.020873174526504612;-0.05421118176596684;-0.008434987236395818;0.8712377453728388;0.490788795744131;0.05747514796499838;0.4904172729654193;-0.8695904241328576,1.8882618112799683;-3.85596317600473;12.115719991069094
heritage,dioscuri,heritage/dioscuri/images/archive_0054.png,-0.9764143985793015;0.03525230509796251;-0.21300750510792404;0.2006782476530802;0.5121167500551823;-0.8351435057711981;0.07964397758720444;-0.858192116777006;-0.5071125393203084,4.979641469657604;9.768885075836401;0.8612381465509287
heritage,dioscuri,heritage/dioscuri/images/archive_0051.png,-0.9997006749518051;-0.0018104424756478481;0.0243984179599347;-0.002347660399331367;0.9997550397312497;-0.022007930902671228;-0.02435259722400683;-0.02205862257734399;-0.9994600383099044,3.0908787196568293;3.1911647715050786;10.516246994222218
heritage,dioscuri,heritage/dioscuri/images/archive_0037.png,-0.9963986203397277;-0.061551463558769864;0.05831986555935167;-0.08343339139364153;0.589039657404942;-0.8037855131842225;0.015121461094843018;-0.8057566005550573;-0.5920537493136204,5.113634095799158;8.336741802704662;6.204035200673502
heritage,dioscuri,heritage/dioscuri/images/archive_0036.png,-0.9817167421517974;-0.0299174971326636;0.18798186493430505;0.05917430399179857;0.8906700378868176;0.45078296924105415;-0.18091611295279494;0.4536648840014092;-0.8726153408564625,-0.723931405934508;-3.2949489629376725;12.62011254058104
heritage,dioscuri,heritage/dioscuri/images/archive_0035.png,0.9995445997956035;0.004229343172527282;0.029878180596814585;0.000801402066792579;-0.993500742660415;0.1138228100511122;0.030165390336844827;-0.11374703068446765;-0.993051691623499,-2.1959298084991006;-4.419418200887393;11.627849618331124
heritage,dioscuri,heritage/dioscuri/images/archive_0034.png,0.2805651440992605;0.1511781149429302;0.9478546183243839;0.018163938469333243;0.9865052084101005;-0.16271922172572734;-0.9596631029980487;0.06287011485631566;0.27403298597451764,-10.323030609856342;4.9729346286529825;-0.2637020410601405
heritage,dioscuri,heritage/dioscuri/images/archive_0033.png,-0.9813202753997239;-0.006255331083467342;0.19227945267876806;0.004509881621411997;0.9984485727246655;0.05549872603798358;-0.19232830799747408;0.055329182689739;-0.9797696175559407,-0.7032831778779124;3.0156478688424326;13.354903822088644
heritage,dioscuri,heritage/dioscuri/images/archive_0032.png,0.9252440882548649;0.03949735164020371;0.3773106629328593;0.05831345263599608;-0.9975528918795122;-0.03857161060276731;0.37486386647834324;0.05769044215667069;-0.9252831428771815,-5.802967926012769;-2.6802420827804174;10.26540590214661
